  theta,         d,    a,  alpha
      0,         0,    0,     pi
      0,  -0.28481,    0, pi / 2
-pi / 2, -0.005375, 0.41,     pi
-pi / 2, -0.006375,    0, pi / 2
					pi,  -0.31436,    0, pi / 2
					pi,         0,    0, pi / 2
	pi / 2,  -0.15593, 0.06,     pi
